 164;,Northern Illinois,=  71.53 ,17,12,70.93( 175),,0,0,|,0   0  |   71.63,162 |   71.83,164 |   70.95
 165;,Western Kentucky,=  71.44 ,16,16,70.83( 178),,0,2,|,0   2  |   70.94,175 |   71.28,169 |   72.97
 166;,DePaul,=  71.32 ,9,22,79.36(  28),,0,4,|,1  13  |   71.41,167 |   71.70,165 |   70.73
 167;,Florida Gulf Coast,=  71.30 ,17,13,66.85( 300),,0,1,|,0   2  |   71.01,172 |   70.40,183 |   72.95
 168;,Texas A&M-CorpusChris,ti; =  71.18 ,2,3,8   67.15( 295,),0,,1  |,0   3  |   70.28,184 |   71.89,161 |   73.02
 169;,Murray State,=  71.18 ,15,14,69.74( 213),,0,0,|,0   0  |   71.25,169 |   71.30,168 |   70.85
 170;,Bucknell,=  71.17 ,16,14,68.09( 264),,0,0,|,0   0  |   72.06,158 |   70.61,181 |   69.21
Colleg,e Basketball 2015-2016,Div I,gam,es o,nly    through,ga,mes,of,2016,March 16 Wednesday,, 
 ,, RATING ,W,L,SCHEDL(RANK),VS,top,25,| VS,top 50 |  PREDICTOR, | GOLDEN;_MEA,N  |  RECENT
 , HOME ADVANT,AGE=[  3.31],,,,,,,,[  3.31],[  3.31],[  3.31]
 171;,Wyoming,=  71.16 ,12,18,73.64( 110),,0,0,|,0   3  |   71.60,163 |   71.27,170 |   69.81
 172;,Kent State,=  71.08 ,18,13,70.78( 182),,0,1,|,0   2  |   70.95,173 |   71.98,159 |   70.58
 173;,Auburn,=  71.04 ,11,20,78.33(  54),,1,2,|,1   6  |   71.02,171 |   71.87,162 |   70.32
 174;,Coastal Carolina,=  71.03 ,16,11,67.89( 271),,0,0,|,0   0  |   70.87,176 |   70.99,174 |   71.52
 175;,Loyola-Chicago,=  70.93 ,14,17,72.04( 144),,0,3,|,1   4  |   70.60,180 |   71.12,173 |   71.64
 176;,Elon,=  70.81 ,14,16,72.59( 134),,0,1,|,0   3  |   71.06,170 |   70.90,177 |   70.02
 177;,Lehigh,=  70.65 ,16,15,67.78( 277),,0,2,|,0   3  |   69.78,190 |   69.92,188 |   73.70
