 142;,Eastern Kentucky,=  73.98 ,18,11,69.09( 290),0,1,|,,1   2  | ,73.28,149 |   74.30,139 |   73.91
 143;,San Francisco,=  73.88 ,13,18,74.15( 109),0,3,|,,0   5  | ,74.7,131 |   74.83,128 |   71.58
 144;,Charlotte,=  73.85 ,14,18,73.46( 126),0,1,|,,0   4  | ,74.44,134 |   74.54,132 |   72.09
 145;,UAB,=  73.83 ,18,15,72.61( 147),0,2,|,,0   5  | ,72.91,154 |   73.79,143 |   74.42
 146;,Portland,=  73.82 ,15,16,74.09( 111),0,2,|,,0   5  | ,74.54,133 |   74.25,141 |   72.25
 147;,Belmont,=  73.80 ,21,10,69.71( 261),0,1,|,,0   2  | ,72.78,155 |   73.43,148 |   74.89
 148;,Mississippi State,=  73.77 ,12,19,76.87(  74),0,3,|,,2   9  | ,74.16,137 |   73.60,146 |   73.25
 149;,Southern California,=  73.70 ,12,20,77.08(  73),0,3,|,,0  10  | ,74.23,136 |   73.21,149 |   73.43
 150;,North Dakota State,=  73.45 ,21,9,69.62( 265),0,1,|,,0   2  | ,72.55,158 |   72.20,160 |   75.55
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
 ,, RATING ,W,L,SCHEDL(RANK) V,S top,25,|,VS,top 50 | GO,LDEN;_M,EAN  | PREDICTO,R;    | ELO;_SCOR
 , HOME ADVANT,AGE=[  3.34],,,,,,,,[ ,3.25],[  3.30],[  3.47]
 151;,High Point,=  73.21 ,20,9,69.83( 252),0,1,|,,0   1  | ,71.27,178 |   72.22,159 |   76.03
 152;,North Florida(UNF),=  73.09 ,20,12,67.72( 331),0,1,|,,1   2  | ,73.44,147 |   73.15,150 |   72.31
 153;,Canisius,=  72.96 ,17,14,70.10( 236),0,0,|,,0   0  | ,73.81,143 |   72.97,153 |   71.77
 154;,Western Michigan,=  72.94 ,18,14,73.35( 130),0,0,|,,0   0  | ,72.58,157 |   72.12,162 |   73.95
 155;,Chattanooga,=  72.69 ,20,10,68.88( 303),0,2,|,,0   3  | ,71.76,171 |   71.86,167 |   74.25
 156;,St. Francis-NY,=  72.68 ,22,12,67.88( 327),0,1,|,,0   1  | ,72.98,153 |   72.06,163 |   72.78
 157;,Montana,=  72.61 ,18,13,70.21( 231),0,0,|,,0   2  | ,72.41,160 |   72.34,157 |   72.74
 158;,Washington State,=  72.56 ,13,18,77.69(  64),0,4,|,,2   7  | ,71.77,170 |   71.33,176 |   74.48
 159;,Middle Tennessee,=  72.55 ,18,17,72.83( 141),0,0,|,,0   1  | ,71.89,167 |   72.60,154 |   72.76
 160;,Rider,=  72.45 ,21,12,69.89( 246),0,2,|,,0   2  | ,71.66,173 |   72.03,164 |   73.35
Colleg,e Basketball 2014-2015,Div I games,onl,y  t,hrough games of,2015,Ma,rch,1,8 Wednesday,,, 
