11/17/2017,Florida St.,67,Fordham,"43 N   St. James, Jamaica"
11/17/2017,Lakeland,27,Green Bay,98
11/17/2017,Clemson,78,Hofstra,"59 N   Charleston, SC"
11/17/2017,Drexel,84,Houston,"80 N   Lynchburg, VA"
11/17/2017,DePaul,73,Illinois,82
11/17/2017,McMurry,49,Incarnate Word,88
11/17/2017,Northern Kentucky,87,James Madison,"78 N   Nassau, Bahamas"
11/17/2017,South Dakota St.,64,Kansas,98
11/17/2017,UC Irvine,49,Kansas St.,71
11/17/2017,East Tennessee St.,61,Kentucky,78
11/17/2017,Siena,90,Lehigh,91 1
11/17/2017,Mercer,63,Liberty,48
11/17/2017,Miami OH,78,LIU Brooklyn,"74 N   St. James, Jamaica"
11/17/2017,Savannah St.,82,Louisiana Lafayette,115
11/17/2017,Nebraska Omaha,78,Louisville,87
11/17/2017,Towson,95,Loyola MD,72
11/17/2017,Concordia MN,69,Milwaukee,55
11/17/2017,Georgia St.,72,Mississippi,77
11/17/2017,North Dakota St.,57,Missouri St.,54
11/17/2017,New Mexico,56,New Mexico St.,75
11/17/2017,Spring Hill,83,Nicholls St.,127
11/17/2017,Warren Wilson,76,North Carolina Central,101
11/17/2017,Rice,87,Northwestern St.,65
11/17/2017,Indiana St.,44,Old Dominion,"62 N   Charleston, SC"
11/17/2017,Alabama St.,56,Oregon,114
11/17/2017,Columbia,65,Penn St.,79
11/17/2017,Northern Colorado,84,Pepperdine,82
11/17/2017,Saint Louis,63,Providence,"90 N   New York, NY"
11/17/2017,McNeese St.,52,San Diego St.,83
11/17/2017,Sacramento St.,56,San Francisco,69
11/17/2017,Northeastern,59,Stanford,73
11/17/2017,Auburn,74,Temple,"88 N   Charleston, SC"
11/17/2017,UC Santa Barbara,65,Texas A&M,84
11/17/2017,Colorado St.,53,Tulane,"80 N   St. James, Jamaica"
11/17/2017,Iowa St.,80,Tulsa,"78 N   Conway, SC"
11/17/2017,South Carolina St.,68,UCLA,96
11/17/2017,Ferrum,43,UNC Greensboro,95
11/17/2017,Eastern Washington,76,UNLV,91
11/17/2017,South Carolina,80,UTEP,"56 N   Conway, SC"
11/17/2017,Coastal Carolina,83,UTSA,"69 N   Nassau, Bahamas"
11/17/2017,UNC Asheville,76,Vanderbilt,79
11/17/2017,Virginia,76,VCU,67
11/17/2017,Lafayette,57,Villanova,"104 N   Allentown, PA"
11/17/2017,Drake,77,Wake Forest,"74 N   Lynchburg, VA"
11/17/2017,Virginia Tech,103,Washington,"79 N   New York, NY"
11/17/2017,Iona,80,Weber St.,"72 N   Nassau, Bahamas"
11/17/2017,Appalachian St.,67,Western Michigan,"86 N   Conway, SC"
11/18/2017,Tennessee Martin,59,Akron,76
11/18/2017,Houston Baptist,88,Belmont,93
