 100,Georgia Tech,=  76.38 ,12,19,77.97(  46),,2,5,|,,3  11,| ,75.09  113 | ,77.53,93
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 101,Stephen F. Austin,=  76.33 ,20,8,70.67( 215),,0,1,|,,0   2,| ,76.35   99 | ,76.1,106
 102,St. John's,=  76.04 ,16,18,76.90(  57),,0,9,|,,3  11,| ,76.50   97 | ,75.39,115
 103,Nevada,=  75.97 ,20,13,73.45( 127),,0,1,|,,1   4,| ,75.45  110 | ,76.27,102
 104,Akron,=  75.96 ,22,13,71.52( 184),,0,2,|,,0   2,| ,74.36  121 | ,77.46,94
 105,La Salle,=  75.79 ,18,13,73.42( 128),,0,3,|,,0   4,| ,75.84  105 | ,75.52,111
 106,American Universi,ty     =  75.74 ,24,8,68.87( 281),,0,2,|,,0   4,| ,76.75   94 | ,74.57,122
 107,Portland State,=  75.66 ,22,10,70.93( 209),,1,2,|,,1   3,| ,75.60  108 | ,75.5,112
 108,Iowa State,=  75.57 ,15,17,75.98(  69),,0,8,|,,1  11,| ,75.36  111 | ,75.57,110
 109,Oakland-Mich.,=  75.51 ,22,13,72.00( 169),,0,2,|,,0   4,| ,74.66  118 | ,76.17,105
 110,Portland,=  75.47 ,19,13,72.86( 145),,1,2,|,,2   6,| ,74.94  114 | ,75.79,108
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 111,Weber State,=  75.31 ,20,10,71.34( 191),,0,0,|,,0   5,| ,75.64  107 | ,74.76,120
 112,Richmond,=  75.27 ,19,16,73.65( 117),,1,2,|,,1   2,| ,75.46  109 | ,74.87,119
 113,Bradley,=  75.14 ,21,15,73.40( 130),,0,1,|,,0   3,| ,75.67  106 | ,74.41,126
 114,Buffalo,=  74.99 ,21,12,72.21( 165),,0,1,|,,0   1,| ,74.82  116 | ,74.95,118
 115,Pacific,=  74.74 ,20,13,71.35( 190),,0,1,|,,0   3,| ,73.80  128 | ,75.49,113
 116,Arkansas,=  74.74 ,14,16,74.39(  98),,2,0,|,,2   5,| ,74.16  123 | ,75.1,116
 117,Cornell,=  74.68 ,20,10,69.10( 271),,0,2,|,,0   3,| ,73.19  135 | ,76.02,107
 118,CS Northridge,=  74.59 ,16,14,72.88( 143),,0,2,|,,0   3,| ,72.84  143 | ,76.22,104
 119,Oral Roberts,=  74.56 ,15,15,73.46( 126),,0,2,|,,0   3,| ,71.26  169 | ,78.01,87
 120,New Mexico State,=  74.46 ,17,15,73.02( 139),,0,1,|,,0   5,| ,73.76  129 | ,74.95,117
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 121,Ark.-Little Rock,=  74.41 ,23,8,69.65( 256),,0,1,|,,0   1,| ,76.22  100 | ,72.49,155
 122,College of Charle,ston   =  74.40 ,27,9,68.44( 297),,0,1,|,,0   1,| ,76.63   95 | ,72.1,160
 123,East Tennessee St,ate    =  74.29 ,22,11,68.64( 292),,0,1,|,,0   1,| ,72.83  144 | ,75.6,109
 124,Wyoming,=  74.23 ,17,14,74.13( 106),,0,1,|,,1   8,| ,74.89  115 | ,73.38,140
 125,Saint Louis,=  74.20 ,17,14,73.30( 134),,0,2,|,,0   2,| ,74.78  117 | ,73.41,138
 126,Illinois-Chicago,=  73.88 ,15,15,73.52( 122),,0,0,|,,0   2,| ,73.25  133 | ,74.3,128
 127,Belmont,=  73.87 ,20,13,69.36( 265),,0,1,|,,0   2,| ,72.14  154 | ,75.44,114
 128,Wichita State,=  73.85 ,17,17,73.51( 123),,0,1,|,,0   2,| ,73.45  131 | ,74.03,132
 129,TCU,=  73.83 ,13,17,75.49(  76),,0,1,|,,0   8,| ,72.92  141 | ,74.54,123
 130,Evansville,=  73.81 ,16,14,73.63( 119),,0,1,|,,0   2,| ,73.31  132 | ,74.09,131
FINAL,College Basketball,2008-2009    Div I,ga,mes,only    through,20,9,Apri,l,6,Monday,#NAME?,ampionship Game,,
HOME,ADVANTAGE=  3.81,  RATING ,W,L,SCHEDL(RANK),VS,to,p 25,|,V,S top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 131,James Madison,=  73.80 ,21,15,71.33( 193),,0,0,|,,0   0,| ,74.55  119 | ,72.84,149
 132,Seattle,=  73.77 ,13,8,71.11( 202),,0,1,|,,0   2,| ,74.43  120 | ,72.92,148
 133,Central Florida,=  73.64 ,16,14,72.98( 140),,0,1,|,,0   2,| ,73.08  139 | ,73.98,133
 134,Kent State,=  73.62 ,18,15,71.63( 181),,0,2,|,,0   4,| ,72.31  151 | ,74.75,121
 135,South Florida,=  73.55 ,9,22,79.73(  15),,1,8,|,,1  10,| ,72.41  147 | ,74.49,124
 136,Tennessee-Martin,=  73.54 ,20,10,68.83( 282),,0,0,|,,0   2,| ,72.41  146 | ,74.47,125
 137,Oregon,=  73.53 ,8,23,81.37(   2),,0,8,|,,1  16,| ,73.73  130 | ,73.12,146
 138,Hofstra,=  73.46 ,20,11,71.57( 183),,0,1,|,,0   1,| ,75.90  103 | ,70.93,179
