 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
 131,Wright State,=  75.42 ,22,13,72.09( 167),,0,,0,|,,0   1,|   75.05  136 | ,75.69,122
 132,Northwestern Stat,e      =  75.40 ,19,9,70.64( 227),,0,,1,|,,0   1,|   76.77  106 | ,73.99,143
 133,Pacific,=  75.03 ,20,13,73.52( 132),,1,,3,|,,1   3,|   76.29  118 | ,73.7,147
 134,Green Bay,=  75.02 ,17,16,73.21( 136),,1,,1,|,,1   2,|   74.99  139 | ,74.95,131
 135,Oral Roberts,=  74.88 ,19,15,71.23( 198),,0,,1,|,,0   3,|   75.61  128 | ,74.06,142
 136,South Florida,=  74.84 ,12,19,79.07(  21),,1,,6,|,,2  10,|   74.79  140 | ,74.79,132
 137,Kent State,=  74.81 ,20,14,72.39( 161),,0,,0,|,,0   1,|   74.78  142 | ,74.73,133
 138,Vermont,=  74.77 ,21,12,70.22( 249),,0,,0,|,,0   1,|   75.26  133 | ,74.18,139
 139,Wake Forest,=  74.69 ,13,18,77.41(  63),,1,,2,|,,3   5,|   74.72  144 | ,74.54,135
 140,Robert Morris,=  74.56 ,24,11,69.28( 275),,0,,0,|,,1   0,|   74.77  143 | ,74.25,137
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
 141,Niagara,=  74.55 ,19,14,72.95( 144),,0,,0,|,,0   1,|   75.02  138 | ,73.98,144
 142,Western Michigan,=  74.49 ,21,13,71.71( 175),,0,,1,|,,0   2,|   74.79  141 | ,74.1,141
 143,Boston U.,=  74.44 ,17,13,70.99( 212),,0,,0,|,,0   1,|   75.03  137 | ,73.75,145
 144,San Francisco,=  74.40 ,13,16,74.83( 116),,0,,4,|,,0   6,|   74.36  148 | ,74.33,136
 145,Albany-NY,=  74.11 ,24,11,69.56( 268),,0,,2,|,,0   2,|   74.64  145 | ,73.48,148
 146,Bradley,=  73.87 ,18,17,74.42( 120),,0,,5,|,,0   5,|   74.23  150 | ,73.4,150
 147,Fairfield,=  73.77 ,19,16,72.34( 164),,0,,0,|,,0   1,|   73.69  152 | ,73.73,146
 148,UC Irvine,=  73.69 ,19,16,72.60( 155),,0,,0,|,,0   2,|   74.47  147 | ,72.82,155
 149,Rider,=  73.58 ,19,15,72.90( 146),,0,,0,|,,0   1,|   74.60  146 | ,72.47,164
 150,Montana,=  73.51 ,23,7,68.56( 294),,0,,1,|,,0   2,|   75.41  131 | ,71.56,177
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
 151,Tulane,=  73.50 ,19,15,70.44( 237),,0,,0,|,,0   2,|   72.70  164 | ,74.19,138
 152,Arkansas State,=  73.35 ,18,12,68.99( 283),,0,,0,|,,1   1,|   72.49  170 | ,74.11,140
 153,Virginia Tech,=  73.23 ,13,19,77.83(  54),,0,,4,|,,2  10,|   73.38  155 | ,72.96,153
 154,Western Illinois,=  73.17 ,20,9,68.94( 287),,0,,0,|,,0   0,|   73.57  154 | ,72.65,158
 155,Penn State,=  73.14 ,10,21,80.76(   6),,1,,9,|,,1  14,|   72.72  163 | ,73.45,149
 156,College of Charle,ston   =  73.13 ,24,10,68.33( 302),,0,,1,|,,1   1,|   73.20  159 | ,72.96,154
 157,Delaware,=  73.09 ,19,14,72.01( 168),,0,,2,|,,1   5,|   73.61  153 | ,72.45,165
 158,Texas-Arlington,=  72.87 ,19,14,71.76( 173),,0,,0,|,,0   1,|   72.82  162 | ,72.81,156
 159,Long Beach State,=  72.80 ,17,14,74.49( 119),,0,,3,|,,0   6,|   74.29  149 | ,71.21,187
 160,UAB,=  72.72 ,15,17,74.16( 122),,0,,1,|,,0   5,|   72.63  166 | ,72.7,157
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
 161,Manhattan,=  72.67 ,14,18,73.94( 125),,0,,1,|,,0   1,|   73.13  160 | ,72.11,169
 162,Southern Illinois,=  72.64 ,13,17,75.57( 106),,1,,4,|,,1   4,|   73.26  158 | ,71.9,173
 163,Loyola-Chicago,=  72.60 ,14,16,71.45( 186),,0,,1,|,,0   1,|   72.61  167 | ,72.47,163
 164,Cal Poly-SLO,=  72.57 ,16,14,72.42( 160),,0,,1,|,,1   1,|   73.71  151 | ,71.32,185
 165,NC Central,=  72.54 ,19,9,67.28( 329),,0,,2,|,,0   2,|   72.37  176 | ,72.6,159
 166,Tennessee State,=  72.46 ,16,15,72.62( 154),,0,,1,|,,1   5,|   73.31  156 | ,71.5,179
 167,Illinois-Chicago,=  72.43 ,17,16,72.88( 148),,0,,1,|,,1   1,|   73.26  157 | ,71.48,180
 168,DePaul,=  72.40 ,11,21,77.46(  62),,0,,7,|,,0  12,|   71.46  183 | ,73.24,152
 169,Southern U.,=  72.37 ,20,10,64.25( 347),,0,,2,|,,0   2,|   71.30  185 | ,73.32,151
 170,James Madison,=  72.28 ,21,15,70.62( 228),,0,,1,|,,0   2,|   72.59  169 | ,71.86,174
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
 171,Towson,=  72.27 ,17,13,71.57( 181),,0,,1,|,,0   2,|   72.49  171 | ,71.96,172
 172,Western Kentucky,=  72.27 ,19,16,71.16( 204),,0,,3,|,,0   6,|   71.90  180 | ,72.54,161
 173,Army,=  72.19 ,15,15,69.90( 257),,0,,0,|,,0   0,|   71.76  182 | ,72.51,162
 174,Nevada,=  72.18 ,11,19,77.53(  61),,0,,3,|,,0   9,|   72.29  177 | ,71.97,171
 175,San Diego,=  72.18 ,14,18,74.89( 115),,0,,5,|,,0   6,|   72.60  168 | ,71.65,175
 176,Wagner,=  72.15 ,19,12,69.39( 272),,0,,1,|,,0   2,|   73.08  161 | ,71.1,190
 177,Northeastern,=  72.10 ,20,13,71.38( 188),,0,,0,|,,1   1,|   72.65  165 | ,71.43,182
 178,Drexel,=  72.09 ,13,18,72.48( 156),,0,,1,|,,0   1,|   71.82  181 | ,72.26,166
 179,Bryant,=  72.03 ,19,12,69.13( 278),,0,,1,|,,0   1,|   72.41  174 | ,71.55,178
 180,Fla. Internationa,l      =  71.99 ,18,14,71.21( 199),,0,,1,|,,1   3,|   72.25  178 | ,71.62,176
FINAL,College Basketball,2012-2013    Div I,ga,mes,only   through,201,3,Ap,ril,,8 Mo,nday -,NCAA Championship,,
 ,, RATING ,W,L,SCHEDL(RANK),VS,t,op,25,|,VS,top 50,| ELO_SCORE    | PR,EDICT,OR  
 , HOME A,DVANTAGE=[  3.51],,,,,,,,,,,[  3.47]       [ ,3.52],
 181,Tulsa,=  71.95 ,16,16,73.67( 126),,0,,2,|,,0   4,|   72.44  172 | ,71.34,183
 182,Youngstown State,=  71.92 ,15,16,72.78( 152),,0,,0,|,,0   0,|   72.44  173 | ,71.29,186
 183,SMU,=  71.66 ,14,17,71.50( 185),,0,,0,|,,0   1,|   71.24  187 | ,71.97,170
