HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 171,Oregon State,=  72.05 ,11,20,76.52(  71),,2,3,|,,2   5,| ,71.19  184 | ,72.55,158
 172,Rice,=  72.04 ,12,18,74.14( 121),,0,2,|,,0   2,| ,70.54  190 | ,73.17,148
 173,Quinnipiac,=  71.90 ,22,10,67.41( 318),,0,0,|,,0   0,| ,72.56  162 | ,70.88,179
 174,IPFW,=  71.88 ,17,12,68.98( 281),,0,2,|,,0   3,| ,71.47  180 | ,71.94,166
 175,North Texas,=  71.73 ,20,11,67.67( 316),,0,1,|,,0   1,| ,71.54  177 | ,71.56,172
 176,Saint Joseph's-Pa,.      =  71.56 ,11,22,76.72(  67),,0,0,|,,0   7,| ,71.97  169 | ,70.79,180
 177,Weber State,=  71.50 ,15,14,71.31( 196),,0,1,|,,0   2,| ,71.14  186 | ,71.5,175
 178,Western Carolina,=  71.47 ,17,15,71.00( 211),,0,1,|,,0   2,| ,71.92  171 | ,70.66,183
 179,Yale,=  71.47 ,14,13,71.29( 200),,0,1,|,,0   1,| ,72.24  165 | ,70.33,190
 180,San Jose State,=  71.43 ,16,16,72.18( 172),,0,0,|,,0   3,| ,71.53  178 | ,70.97,178
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 181,Pennsylvania,=  71.31 ,13,15,72.29( 166),,0,2,|,,0   4,| ,71.74  173 | ,70.51,186
 182,Hampton,=  71.19 ,23,9,66.14( 329),,0,1,|,,0   1,| ,73.76  147 | ,68.15,228
 183,Northeastern,=  71.16 ,11,20,75.34(  93),,0,0,|,,1   5,| ,71.65  175 | ,70.31,191
 184,Nevada,=  71.12 ,12,19,73.48( 138),,0,1,|,,0   4,| ,69.58  201 | ,72.27,164
 185,Loyola-Maryland,=  71.06 ,15,15,70.85( 214),,0,1,|,,0   2,| ,71.63  176 | ,70.12,193
 186,TCU,=  70.98 ,11,22,75.88(  79),,0,5,|,,0   7,| ,69.49  206 | ,72.08,165
 187,Cal Poly-SLO,=  70.90 ,15,14,70.22( 241),,0,1,|,,0   2,| ,69.72  199 | ,71.7,171
 188,Canisius,=  70.82 ,15,15,70.32( 237),,0,1,|,,0   1,| ,70.74  187 | ,70.54,185
 189,Fresno State,=  70.76 ,13,17,72.15( 173),,0,1,|,,0   3,| ,69.41  207 | ,71.73,170
 190,North Dakota Stat,e      =  70.53 ,12,15,70.59( 230),,0,0,|,,0   0,| ,68.06  228 | ,72.52,160
FINAL,College Basketball,2010-2011    Div I,ga,mes,only    through,ga,mes,of,2,11,April,4 Mo,nday - Championsh,ip Game,
HOME,ADVANTAGE=  3.76,  RATING ,W,L,SCHEDL(RANK),VS,top,25,|,VS,top 5,0 | ,ELO_CHESS   | ,PREDIC,TOR  
 191,Appalachian State,=  70.39 ,14,15,71.53( 190),,0,1,|,,0   2,| ,71.23  183 | ,69.17,208
